Title of Book or Manuscript,file_name,page #,Book or Manuscript,Title of Poem,text,DocSoutTrascription
Poems by a slave,poemsbyslavehort_0000.jpg,0,Book,,,https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0001.jpg,1,Book,," 
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0002.jpg,2,Book,,"
 

 

 
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0003.jpg,3,Book,," 
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0004.jpg,4,Book,,,https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0005.jpg,5,Book,," 
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0006.jpg,6,Book,," 
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0007.jpg,7,Book,Preface,"POEMS BY A SLAVE.

et tO ee
EXPLANATION.

GEORGE, who is the author of the following poetical effu-
sions, is a Slave, the property of Mr. James Horton, of Chatham
County, North Carolina. He has been in the habit, some years
past, of producing poetical pieces, sometimes on suggested sub-
jects, to such persons as would write them while he dictated.
Several compositions of his have already appeared in the
Raleigh Register. Some have made their way into the Boston
newspapers, and have evoked expressions of approbation and
surprise. Many persons have now become much interested in
the promotion of his prospects, some of whom are elevated in
office and literary attainments, They are solicitous that efforts at

. length be made to obtain by subscription, a sum sufficient for
* his emancipation, upon the condition of his going in the vessel
which shall first afterwards sail for Liberia. It is his earnest
and only wish to become a member of that Colony, to enjoy its
privileges, and apply his industry and mental abilities to the
promotion of its prospects and his own. It is upon these terms
“alone, that the efforts of those who befriend his views are in-

  
   

t the plan here urged in his behalf, the paper
chibited is pu "" Seyeral of his productions are
contained in the. succeeding pages. Many more might have
been added, which would have swelled into a larger size.
They would doubtless be interesting to many, batit is hoped
that the specimens here inserted will be sufficient to accomplish
the object of the publication. Expense will thus be avoided,
and the money better employed in enlarging the sum applicable
for his emancipation.—It is proposed, that in every town or
vicinity where contributions are madey, they may be put into the
hands of some person, who will humanely consent to receive
‘them, and give notice to Mr. Weston R, Gales, in Raleigh, of ~
the amount collected. As soon as it is ascertained that the —
collections. will accomplish the object, it is expected that they
‘will be transmitted without delay to Mr. Weston A. Gales,
But should they ultimately prove insufficient, they will be re-
turned to subscribers.
None will imagine it possible that pieces produced as these
have been, should be free from blemish in composition or taste.
The author is now 32 years of age, and has always laboure hin
the field on his | rs im, promiscuously with the few _
é ‘ rN

    

i
\
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0008.jpg,8,Book,Preface,"z POEMS BY A SLAVE.

others which Mr. Horton owns, in circumstances of the greatest
possible simplicity. His master says he knew nothing of his
poetry, but as he heard of it from others. Grorer knows how
to read, and is now learning to write. All his pieces are written
down by others; and his reading, which is done at night, and at
the usual intervals allowed to slaves, has been much employed
on poetry, such as he could procure, this being the species of
composition most interesting to him. It is thought bestto print
his productions without correction, that the mind of the reader
may be in no uncertainty as to the originality and genuineness
of every part. We shall conclude this account of Groreer,
with an assurance that he has been ever a faithful, honest and
industrious slave. That his heart has felt deeply and sensitively
in this lowest possible condition of human nature, will easily be
believed, and is impressively confirmed by one of his stanzas,

Come, melting Pity, from afar,
And break this vast enormous bar
Between a wretch and thee ;
Purchase a few short days of time,
And bid a vassal soar sublime,
On wings of Liberty.
Raleigh, July 2, 1829. ‘

8 @ Ste
PREFACE TO THE SECOND EDITION.

Of these poems, the present publisher has never seen or
heard of but one copy, which was recently obtained by Josuua
Corrin, of this city, from a gentleman who met with ee
cinnati afew years ago. The pamphlet is republished, w
out any alterations,—even verbal; except the insertion of the
headline, ‘* Poems by a slave,” over the pages, and the omis-
sion of the title page, which ran as follows:

“The Hope of Liberty, containing a number of poetical
pieces. By George M. Horton. Raleigh, printed by Gales &
Son, 1829.”

Observe Ist, That Gales, the printer of the pamphlet, is now
one of the firm of Gales & Seaton, at Washington,—no «aboli-
tionist. 2nd, The*publisher admits slavery to be ‘the lowest —
possible condition of human nature ;”’ and that the slaves are
not all happy, for George ‘‘felt deeply and sensitively.”’ 3d,
The man-who could write such poems-was kept for 32 years in
«the lowest possible condition of human nature,” and was to
remain there if he would not consent to go to Liberia.

ether the poems sold for sufficient to buy this man, so
dangerous to “Southern institutions,” and export him, I have

not been able to ascertain. Perhaps George is still a slave! :
f ih, iC. 1G,

  
 
 

Philadelphia, September, 1837.

 
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0009.jpg,9,Book,Preface,"POEMS BY A SLAVE. 3

PRAISE OF CREATION.

Creation fires my tongue!
Nature thy anthems raise ;
And spread the universal song
Of thy Creator’s praise !

Immediately after the present edition was issued, the follow-

ing letter was put into my hands. PuBLISHER.

Washington, September 12th, 1837.
Dear Sir:—I have inquired of Mr. Gales, agreeably to your
request to ‘ascertain the present condition of George M. Horton.
He informs me that he is still the slave of James Horton of
Chatham County, and is employed as a servant at Chapel Hill,
the seat of the University of North Carolina. It is understood
by Mr. G, that he did not derive much pecuniary profit from the
publication of his poems; and that, since the death of his pa-
tron, the late Dr. Caldwell, President of the University he has
attended to other occupations.
Jam,

Yours truly,
KEKE

Mr. Josuvua Corrin.

The angels heard the tune
Throughout creation ring ;
They seized their golden harps as soon
And touched on every string.

When time and space were young
And music rolled along— ;

The morning stars together sung,
And Heaven was drown’d in song.

Ye towering eagles soar,
And fan Creation’s blaze,
And ye terrific lions roar,
To your Creator’s praise,

6897158
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
